Agent Name,Agent Abilities
Yoru (Duelist),"Blindside (Q) –Yoru creates a dimensional orb and can throw it anywhere on the map. After a delay, the orb breaks and blinds anyone in sight. You can bounce the orb on a surface once before its detonation.Fakeout (C) –Create an Yoru illusion and send it forward (like Mirage from Apex Legends). The illusion cannot do anything except walking forward and looking exactly like Yoru. The illusion is breakable and blinds anyone once broken. If the illusion is not broken, you will notice that it fades away after a duration.Gatecrash (E) (Signature) –Put a tether mark in place or move it forward. Yoru can teleport anytime to the place where the mark is placed on the map (makes a loud sound). The mark stays in a location for a duration until it fades away. Interestingly, Your can also make the teleport sound without going there using the fake teleport ability.Dimensional Drift (X) (Ultimate) –Yoru puts on the mask and travels to his dimension. While being in his dimension Yoru is invisible and non-targettable to any enemy or enemy scanning utilities. Yoru makes a slight sound while using this ability, and the enemy can spot the sound if Yoru is close to them. The character can use any ability while in this alternate dimension."
Astra (Controller),"Astral form (Passive) –Instantly goes into Astral form. Astra can see the full map from this view, use the Cosmic divide, and place stars by only going to the Astral form. Astras original body becomes idle during Astral form activities.Nova pulse (Q) –Detonates a star to create an explosion. Anyone inside the area of the explosion is stunned for a brief time.Gravity well (C) –Astra pulls anyone near a star towards its center. Everyone is affected by the vulnerability of the star pull, even all your teammates if they are standing nearby.Nebula/ Dissipate (E) –This ability turns a star into a small smoke dome. Anyone in or outside the smoke area will have their vision blocked. Astra can also use Dissipate, which consumes the star making a lower duration Nebula but replenishes one star.Stars (X) (Signature) –Put stars anywhere on the map, which take time to get activated. Once activated, these stars can be used as Nova pulse, Gravity well, and Nebula/ Dissipate.Cosmic divide (X) (Ultimate) –Astra goes into Astral form and mark a place. After marking the spot and adjusting it, Astra can make a cosmic wall. This wall activates instantly on initiation. The cosmic wall can block bullets, sound, and vision. The wall fades away after a certain duration."
Kay/o (Initiator),"FLASH/DRIVE (Q) –Valorant agent Kay/o has a great utility in Flash/ Drive. You can throw a flash grenade, whichpops after a brief durationand blinds anyone looking at it. The flash grenade can also be bounced off a wall or lobbed in a certain direction for faster pop and smaller blind duration.FRAG/MENT (C) –Kay/o makes an energy fragment ball. After throwing, it detonates upon surface contact. It creates a puddle of energy that damages any Valorant character inside the puddle, including teammates.ZERO/POINT (E) (Signature) –Throws a non-damaging knife. It sticks to any surface, object, or enemy and detonates. How, you ask? After detonation, it silences the abilities of enemies affected by the knife. Enemy fire can destroy the knife before detonation.NULL/CMD (X) (Ultimate) –Kay/o initiates awave of energythat pulses in the direction you are facing. Its range increases over time. If the wave touches enemies, their abilities are locked, and existing utilities are paused. Kay/o gains additional movement, fire rate, reload speed, and recovery speed. If Kay/o dies during his ultimate, he is not eliminated instantly but is immobilized with a lot of additional HP. Teammates can revive Kay/o within a brief duration, and he will gain full HP after reviving."
Chamber (Sentinel),"Headhunter (Q) –Chamber equips a handgun from his arsenal. This gun has fewer bullets and has a custom aim-down sight. The handgun instantly kills if the bullet connects with the enemy’s head and deals less damage to other body parts.Trademark (C) –Put down a small trap. If an enemy comes near the trap, it detects their presence and creates a slow field. Chamber also gets a sound queue after trap activation.Rendezvous (E) (Signature) –Chamber uses his signature card to place a marker. Chamber caninstantly teleportto the marker anytime but needs to stay within the marker’s range. Unlike any other Valorant character with a teleport, Chamber takes some time to take his gun out after teleportation.Tour de Force (X) (Ultimate) –Equip a custom sniper rifle with 5 bullets. The rifle inflicts heavy damage on impact and kills the enemy even if the bullet hits their leg. This sniper comes with a better turn rate fast scope and better aim accuracy. Moreover, it also comes in super handy as you can buy an OP for your teammate during a cash crunch."
Neon (Duelist),"Energy (Passive) –Neon starts the round with a 100-point energy bar, which depletes on using her signature and ultimate abilities. Neon is one of the few characters in Valorant with high mobility abilities.Relay bolt (Q) –Instantly throw a shock bolt in the aimed direction. The bolts hit a surface and bounce off. After the first bounce, it goes in another direction and then makes a concussion circle. This concussion affects any Valorant agent inside the circle, including teammates.Fast lane (C) –Neon shoots two electric walls instantly. It blocks vision for anyone outside or inside the wall. The walls stop at a distance if any obstacle or surface blocks one of the walls.High gear (E) (Signature) –Neonunequips her gunand goes into High gear mode. It makes her fast and equips her slide ability. While running Neon can slide in the direction she’s moving. After using the slide ability, Neon gets the slide back if she gets two kills. Neon cannot gain energy by killing enemies, it replenishes over time.Overdrive (X) (Ultimate) –Neon activates Overdrive instantly, allowing her to go into her High gear mode and charging her fingers to shoot an electric beam. Overdrive stays in effect till the Energy bar goes to 0. Getting kills during Overdrive gains Neon’s full energy bar."
Fade (Initiator),"Terror trail (Passive) –Fade marks enemies with a dark mist for a brief duration whenever Haunt or Nightfall hits her enemies. Prowler chases marked enemies without Fades control.Seize (Q) –Fade knots a fear ball. Throw it to create a dark circle. It latches enemies on spot, not letting them move. It also creates decay and a deafening effect on affected enemies.Prowler (C) –From a world of fear, this character from Valorant Summons a Prowler. Fade cancontrol the Prowlerand move it around. The Prowler scans for enemies in front and blinds them on contact.Haunt (E) (Signature) –Fade throws a watcher. After a short travel distance, it drops to the ground and scans for enemies. If the watcher spots an enemy, it gives a live location and marks the enemy with a Terror trail.Nightfall (X) (Ultimate) –Initiate a nightmare wave and send it forward. After catching any enemy in the wave, it will mark the enemies with the Terror trail and create a deafening effect."
Harbor (Controller),"Cove (Q) –As a water-basedValorant character, Harborthrows a water ball that falls on the ground and creates a dome. The dome is instantly covered by strong armor. The dome also blocks vision in and outside. Enemies can shoot down the armor with gunfire.Cascade (C) –Make a wall of water and send it forward. The wall blocks vision and slows anyone touching it by 30%. Harbor’s wall can be stopped before it goes the full distance.High tide (E) (Signature) –Harbor throws a bigger wall of water piercing any obstacle. The wall block vision and slows down anyone touching it. Bend the wall accordingly while casting it by aiming down the desired location.Reckoning (X) (Ultimate) –Harbor activates a pool of water in front of him. The pool starts moving forward slowlyinitiatingthree consecutive concussion strikeson any enemy inside the pool. The strikes stop if the enemy leaves the pool, or they can dodge by moving away after an indicator pops up."
Gekko (Initiator),"Globules (Passive) –Gekkos pets turn into a ball after usage or duration.Gekkocan claim the balls and revive his pets to use them again. This makes Gekko one of the most unique utility characters in Valorant.Wingman (Q) –Grab theWingmanand throw him in a direction. Wingman runs towards the direction and bounces off the walls or structure. If Wingman finds an enemy, it immediately starts running faster. If the enemy is too close to the Wingman, he will clap and stun the enemy close to it. If you have the spike, you can alsosend Wingman to plant the spikefor you.Moshpit (C) –Throw Mosh towards the ground. After hitting the ground, Mosh explodes and creates a poisonous pit and anyone who stands in the pit takes heavy damage. Enemies with full HP will die if they stand in the middle of the pit.Dizzy (E) (Signature) –Gekko launches Dizzy up in the air. While in the air, Dizzy spits blue goo in the eyes of the enemies he scans and blinds them. The blindness doesn’t affect enemies’ side-eye vision.Thrash (X) (Ultimate) –Activate Thrash and launch him forward. Thrash moves around with a quick movement and gives crucial information to Gekko. During its usage, Trash can jump onto an area and explode. Upon exploding, Thrash disarms enemies in that area and slows their movement."
Deadlock (Sentinel),"GravNet (C) –The agent from Norway in Valorant can throw a grenade that detonates and turns into a circular net trap. Any enemy trapped in it goes into crouch mode. Moreover, movement speed slows down when the enemy walks while trapped. Any movement ability like Dash, Teleport, or Gatecrash will negate the slow and crouch effect.Sonic Sensor (Q) –Throw a sensor on a structure or surface, and it attaches to the same. The sensor then detects footsteps, gunfire, reloading, or any noise and applies a concussion effect nearby. The sensor does not trigger if the enemy walks using the shift key.Barrier Mesh (E) –Deadlock’s signature ability is the Barrier Mesh. Throw a disc at any location where it creates a core. Around it becomes anX-shaped barrier that blocks enemies from moving through it. The barrier cannot block any incoming fire, only enemies. It is created by destructible nanowire balls, which can be destroyed to break the barrier.Annihilation (X) –Deadlock weaves a thread of nanowires in a structure or wall. The wires enclose an enemy into a cocoon once it comes in contact. The cocooned enemy is disarmed, cannot move, and is pulled toward the start point of the wires. Once Deadlock’s ultimate pulls the cocoon to its start point, it kills the affected enemy. To free the teammate shoot the cocoon with gunfire. As we’ve mentioned in our detailedValorant Deadlock guide, Annihilation can be quite hard to master."
ISO (Duelist),"Contingency (C)– You can equip this ability to assemble a prismatic energy. Once done, press fire to send forward an indestructible wall of energy. This wall blocks bullets and destroys itself after reaching the endpoint. You can still use abilities through the wall.Undercut (Q)– ISO equips a molecular bolt that you can throw in a direction. It travels in a straight line and applies a brief fragile effect to all the enemies it touches. This fragile effect is similar to Killjoy’s alarm bot. You can throw this molecular bolt through any object. This includes boxes, structures, or even walls.Double Tap (E)– Tapping the signature ability button will start a focus timer. During this timer, you enter a flow state wherein if you kill an enemy, they generate an orb similar to Reyna’s orb. If you shoot the orb, it grants you a purple shield. It can help you evade one tick of damage, including Raze’s showstopper or an instance of Sova’s hunter’s fury.Kill Contract (X)– Valorant’slatest agent ISOcreates an interdimensional arena on the battlefield using his ultimate. Once cast, the ability pulls you and the first enemy it hits into an arena. Here, you and your enemy stay until one of you wins the duel by combat. No other player can interfere until the duel is over. If no one wins, both vanish and die in the dimensional arena."
Clove (Controller),"Pick-Me-Up (C)– Butterflies hover over the deadbodies when Clove gets a kill or an assist. It starts a timer to use the ability. Using Pick-me-up allows Clove to consume these butterflies to gain a temporary overheal and movement speed. The ability is also usable even if the body is not in the line of sight and behind a wall.Meddle (Q)– Clove throws a fragment of immortality essence in a desired direction. After the explosion, it decays the enemy’s HP significantly by 90 points. It also affects teammates and Clove themself. One of thebest tricks for Cloveis to combine Meddle with Paint Shell or Shock Dart.Ruse (E)– Clove opens a tactical map, similar to Brimstone. They can use two smokes afterward. The smoke replenish every 30 seconds. Further, Clove can use Ruse even after death. Unfortunately, after death, the tactical map radius is shrunk.Not Dead Yet (X)– UsingClove’s ultimategets you a chance at fighting again. Clove embraces their immortality and self-revives. After death, you get a timer to select if you want to revive yourself. Once done, you get another timer to kill or get an assist. If you get a kill or assist, you will gain permanent immortality. However, failing to do so will get you dead again."
